"First Name","Last Name","Email","grade1","grade2","grade3"
"Amber","Stevens","a.stevens@randatmail.com","95","23","99"
"Alexia","Chapman","a.chapman@randatmail.com","69","09","68"
"Lily","Higgins","l.higgins@randatmail.com","20","19","21"
"Ned","Craig","n.craig@randatmail.com","89","95","91"
"Aida","Ferguson","a.ferguson@randatmail.com","11","08","90"
"Fiona","Bailey","f.bailey@randatmail.com","46","00","69"
"Belinda","Parker","b.parker@randatmail.com","62","53","14"
"Connie","Turner","c.turner@randatmail.com","53","21","72"
"Daniel","Hunt","d.hunt@randatmail.com","11","15","09"
"Julian","Taylor","j.taylor@randatmail.com","26","04","86"
"Sophia","Smith","s.smith@randatmail.com","57","78","71"
"Gianna","Mason","g.mason@randatmail.com","27","77","75"
"Mike","Williams","m.williams@randatmail.com","84","98","66"
"Daisy","Johnston","d.johnston@randatmail.com","06","11","88"
"Jenna","Scott","j.scott@randatmail.com","54","85","87"
"Paul","Warren","p.warren@randatmail.com","21","24","00"
"Alfred","Douglas","a.douglas@randatmail.com","22","54","53"
"Reid","Myers","r.myers@randatmail.com","14","66","57"
"Alford","Reed","a.reed@randatmail.com","72","22","89"
"Kellan","Stewart","k.stewart@randatmail.com","69","95","69"
"Heather","Thomas","h.thomas@randatmail.com","27","92","42"
"Blake","Thomas","b.thomas@randatmail.com","77","38","78"
"Deanna","Morgan","d.morgan@randatmail.com","39","17","93"
"Rafael","Murray","r.murray@randatmail.com","52","70","95"
"Carina","Holmes","c.holmes@randatmail.com","46","59","28"
"Paige","Baker","p.baker@randatmail.com","38","57","29"
"Jordan","Harrison","j.harrison@randatmail.com","76","06","41"
"Vivian","Davis","v.davis@randatmail.com","42","31","78"
"Melissa","Williams","m.williams@randatmail.com","30","08","89"
"Sienna","Harper","s.harper@randatmail.com","72","34","70"
"Olivia","Murray","o.murray@randatmail.com","29","19","73"
"Jessica","West","j.west@randatmail.com","09","88","70"
"Spike","Ross","s.ross@randatmail.com","15","73","65"
"Kate","Richards","k.richards@randatmail.com","54","02","38"
"Adelaide","Richardson","a.richardson@randatmail.com","56","92","13"
"Brad","Armstrong","b.armstrong@randatmail.com","43","94","19"
"Lana","Spencer","l.spencer@randatmail.com","16","46","21"
"Heather","Adams","h.adams@randatmail.com","40","77","57"
"Chester","Alexander","c.alexander@randatmail.com","54","65","18"
"Michelle","Wilson","m.wilson@randatmail.com","33","56","43"
"Richard","Cameron","r.cameron@randatmail.com","10","51","88"
"Lucy","Martin","l.martin@randatmail.com","04","27","63"
"Lily","Murray","l.murray@randatmail.com","17","93","32"
"Kate","Turner","k.turner@randatmail.com","43","76","99"
"Maria","Johnson","m.johnson@randatmail.com","89","92","30"
"Aida","Warren","a.warren@randatmail.com","38","90","00"
"Samantha","Ross","s.ross@randatmail.com","60","08","66"
"Sydney","Cunningham","s.cunningham@randatmail.com","29","83","95"
"Kellan","Lloyd","k.lloyd@randatmail.com","02","77","09"
"Tyler","Taylor","t.taylor@randatmail.com","97","93","99"
"Henry","Payne","h.payne@randatmail.com","10","96","34"
"Camila","Ellis","c.ellis@randatmail.com","41","85","70"
"Lydia","Kelly","l.kelly@randatmail.com","85","05","46"
"Martin","Richards","m.richards@randatmail.com","07","03","01"
"Kate","Murray","k.murray@randatmail.com","13","38","91"
"Maximilian","Scott","m.scott@randatmail.com","17","34","58"
"Myra","Cunningham","m.cunningham@randatmail.com","14","34","47"
"Oscar","Alexander","o.alexander@randatmail.com","70","74","39"
"Joyce","Parker","j.parker@randatmail.com","47","33","46"
"Aldus","Elliott","a.elliott@randatmail.com","38","31","35"
"Jasmine","Campbell","j.campbell@randatmail.com","55","83","70"
"Alfred","Casey","a.casey@randatmail.com","95","52","40"
"Jasmine","Morris","j.morris@randatmail.com","06","96","74"
"Sophia","Armstrong","s.armstrong@randatmail.com","86","59","33"
"Sabrina","Kelley","s.kelley@randatmail.com","57","37","56"
"Jacob","Edwards","j.edwards@randatmail.com","16","21","30"
"Rebecca","Baker","r.baker@randatmail.com","28","75","11"
"Adam","Gray","a.gray@randatmail.com","84","33","90"
"Fenton","Harper","f.harper@randatmail.com","51","89","74"
"Arthur","Chapman","a.chapman@randatmail.com","60","17","23"
"Edith","Kelly","e.kelly@randatmail.com","07","72","53"
"Antony","Ferguson","a.ferguson@randatmail.com","35","03","90"
"Abraham","Morris","a.morris@randatmail.com","65","88","07"
"Adrianna","Farrell","a.farrell@randatmail.com","82","54","27"
"Joyce","Sullivan","j.sullivan@randatmail.com","36","26","08"
"Alen","Farrell","a.farrell@randatmail.com","14","88","07"
"April","Douglas","a.douglas@randatmail.com","97","27","31"
"Alford","Foster","a.foster@randatmail.com","11","78","25"
"Jessica","Spencer","j.spencer@randatmail.com","93","95","20"
"Eric","Henderson","e.henderson@randatmail.com","86","31","76"
"Carlos","Bennett","c.bennett@randatmail.com","88","71","50"
"Adele","Hill","a.hill@randatmail.com","66","30","69"
"Luke","Stewart","l.stewart@randatmail.com","35","54","53"
"Julia","Hall","j.hall@randatmail.com","60","16","06"
"Jenna","Barrett","j.barrett@randatmail.com","93","44","65"
"Kirsten","Riley","k.riley@randatmail.com","90","12","12"
"Cadie","Chapman","c.chapman@randatmail.com","85","21","60"
"Adam","Taylor","a.taylor@randatmail.com","82","19","67"
"Steven","West","s.west@randatmail.com","41","56","63"
"Michelle","Scott","m.scott@randatmail.com","75","43","50"
"Emma","West","e.west@randatmail.com","81","21","02"
"Luke","Ryan","l.ryan@randatmail.com","77","46","69"
"Camila","West","c.west@randatmail.com","77","07","04"
"Derek","Elliott","d.elliott@randatmail.com","08","58","34"
"Reid","Ryan","r.ryan@randatmail.com","14","94","33"
"Alisa","Gibson","a.gibson@randatmail.com","79","87","77"
"Bruce","Johnston","b.johnston@randatmail.com","45","87","36"
"Sawyer","Gibson","s.gibson@randatmail.com","58","76","61"
"Kimberly","Harper","k.harper@randatmail.com","82","48","91"
"Sophia","Brown","s.brown@randatmail.com","53","34","30"
"Sophia","Richardson","s.richardson@randatmail.com","82","81","41"
"Roland","Mason","r.mason@randatmail.com","77","26","81"
"Violet","Barrett","v.barrett@randatmail.com","92","23","63"
"Robert","Riley","r.riley@randatmail.com","15","16","12"
"Adrianna","Sullivan","a.sullivan@randatmail.com","47","92","45"
"Lucia","Miller","l.miller@randatmail.com","91","96","90"
"Lilianna","Stewart","l.stewart@randatmail.com","37","24","06"
"Jared","Reed","j.reed@randatmail.com","90","88","15"
"Amber","Brown","a.brown@randatmail.com","86","67","40"
"Adrian","Wright","a.wright@randatmail.com","65","52","22"
"Paul","Montgomery","p.montgomery@randatmail.com","57","74","82"
"Charlie","Watson","c.watson@randatmail.com","96","31","66"
"Adison","Morrison","a.morrison@randatmail.com","01","36","27"
"Alan","Armstrong","a.armstrong@randatmail.com","39","89","34"
"Edwin","Carroll","e.carroll@randatmail.com","49","16","56"
"Wilson","Wilson","w.wilson@randatmail.com","42","02","48"
"Amanda","Williams","a.williams@randatmail.com","95","18","44"
"Camila","Brooks","c.brooks@randatmail.com","44","68","70"
"Rosie","Stewart","r.stewart@randatmail.com","67","29","63"
"Rebecca","Barrett","r.barrett@randatmail.com","50","27","34"
"Melissa","Miller","m.miller@randatmail.com","00","75","21"
"Isabella","Grant","i.grant@randatmail.com","04","75","69"
"Florrie","Mason","f.mason@randatmail.com","94","09","87"
"Arianna","Allen","a.allen@randatmail.com","85","38","78"
"Maddie","Robinson","m.robinson@randatmail.com","90","30","46"
"Brooke","Reed","b.reed@randatmail.com","62","80","63"
"Eleanor","Carter","e.carter@randatmail.com","68","63","49"
"Paul","Ryan","p.ryan@randatmail.com","17","47","01"
"Martin","Crawford","m.crawford@randatmail.com","47","96","09"
"Kate","Davis","k.davis@randatmail.com","52","68","63"
"Abigail","Myers","a.myers@randatmail.com","26","00","65"
"Sienna","Harrison","s.harrison@randatmail.com","57","41","76"
"Camila","Higgins","c.higgins@randatmail.com","88","65","67"
"Tiana","Hamilton","t.hamilton@randatmail.com","28","86","25"
"Naomi","Miller","n.miller@randatmail.com","47","36","76"
"Kristian","Robinson","k.robinson@randatmail.com","85","44","45"
"Eleanor","Mitchell","e.mitchell@randatmail.com","92","18","35"
"Alissa","Morrison","a.morrison@randatmail.com","28","64","95"
"Andrew","Mason","a.mason@randatmail.com","98","41","20"
"Rosie","Wilson","r.wilson@randatmail.com","08","19","43"
"Connie","Douglas","c.douglas@randatmail.com","13","89","69"
"Kirsten","Kelly","k.kelly@randatmail.com","49","83","71"
"Rubie","Reed","r.reed@randatmail.com","18","31","63"
"Daisy","Allen","d.allen@randatmail.com","15","75","44"
"Chloe","Dixon","c.dixon@randatmail.com","23","86","50"
"Miller","Andrews","m.andrews@randatmail.com","16","79","66"
